"LANGUAGE","Türkçe"
"BOB_NAM","BOB: ağaç ve dekorları değiştirir"
"BOB_DESC","Ağaçların ve dekorların yerini alır."
"TRN_CHOICE","Dili ayarla"
"LANGUAGE_GAME","Oyun dilini kullan"
"NOTE_CLOSE","Kapat"
"NOTE_DONTSHOWAGAIN","Bir daha gösterme"
"BOB_ROW_WAS","oldu"
"BOB_PNL_NOP","Hiç dekor bulunamadı"
"BOB_PNL_NOT","Ağaç bulunamadı"
"BOB_PNL_TRE","Ağaçlar"
"BOB_PNL_PRP","Dekorlar"
"BOB_PNL_BOT","Ağaçlar ve dekorlar"
"BOB_PNL_HDV","Vanilyayı gizle"
"BOB_PNL_ACT","Eylemler"
"BOB_PNL_MOD","Değiştirme modu"
"BOB_PNL_LAN","Şerit seç"
"BOB_PNL_LAN_TIP","Değiştirmek için ağda belirli bir şerit seçin veya tüm şeritleri göstermeyi seçin"
"BOB_PNL_LAN_ALL","Tüm şeritler"
"BOB_PNL_FUN","Ekstra işlevler"
"BOB_PNL_M_PIB","Bu binalarda bireysel dekorlar"
"BOB_PNL_M_PGB","Bu binalarda bu türdeki tüm dekorlar"
"BOB_PNL_M_PAB","Bütün binalarda bu türden tüm dekorlar"
"BOB_PNL_M_TIB","Bu binalarda tek tek ağaçlar"
"BOB_PNL_M_TGB","Bu binalardaki bu türden tüm ağaçlar"
"BOB_PNL_M_TAB","Bütün binalarda bu türden tüm ağaçlar"
"BOB_PNL_M_PIN","Bu ağlarda bireysel dekorlar"
"BOB_PNL_M_PGN","Bu ağlardaki bu türden tüm dekorlar"
"BOB_PNL_M_PAN","Tüm ağlarda bu türden tüm donanımlar"
"BOB_PNL_M_TIN","Bu ağlardaki ayrı ağaçlar"
"BOB_PNL_M_TGN","Bu ağlardaki bu türden tüm ağaçlar"
"BOB_PNL_M_TAN","Tüm ağlarda bu türden tüm ağaçlar"
"BOB_PNL_RTB","Bu binaları KALDIR"
"BOB_PNL_RAB","Tüm binaları KALDIR"
"BOB_PNL_RTN","Bu ağları KALDIR"
"BOB_PNL_RAN","Tüm ağları KALDIR"
"BOB_PNL_RTT","Harita ağaçları"
"BOB_PNL_RTP","Harita donanımları"
"BOB_PNL_RSW","Rastgele göster"
"BOB_PNL_RST","Rastgele kurulum"
"BOB_PNL_SCA","Dekor ve ağaç ölçeklendirme"
"BOB_PNL_APP","Değişiklikleri uygula ve kaydet"
"BOB_PNL_REV","Geri Dön"
"BOB_PNL_ADD","Yeni donanım ekle"
"BOB_PNL_REM","Eklenen dekoru kaldır"
"BOB_PNL_REV_UND","Seçili değiştirmeyi geri al"
"BOB_PNL_REV_TIP","Bu öğe için aktif bir ikame olmadığı için Geri Alma mümkün değil"
"BOB_PNL_HID","Bu öğeyi gizle (olasılığı sıfıra ayarlar)"
"BOB_PNL_PKB","Yedek paketler"
"BOB_PNL_PRB","Olasılık"
"BOB_PNL_ANG","Açı"
"BOB_PNL_OFF","Ofset"
"BOB_PNL_HEI","Yükseklik"
"BOB_PNL_CUH","Özel"
"BOB_PNL_CUH_TIP","Bu seçilirse, belirtilen özel yükseklik ofseti kullanılacaktır (varsayılan payanda yüksekliği yerine)"
"BOB_PNL_XOF","X"
"BOB_PNL_YOF","Y"
"BOB_PNL_ZOF","Z"
"BOB_PNL_REP","Boşluk"
"BOB_PNL_REP_TIP","Örnekler arasındaki mesafe"
"BOB_PNL_SUB","Alt binalar"
"BOB_RND_TIT","rastgele ağaçları ve donanımları yapılandır"
"BOB_RND_NEW","Yeni"
"BOB_RND_DEL","Sil"
"BOB_RND_REN","Yeniden Adlandır"
"BOB_RND_ADD","Varyasyonlara ekle"
"BOB_RND_SUB","Varyasyonlardan kaldır"
"BOB_SCA_TIT","Dekor ölçeklendirmeyi yapılandır"
"BOB_SCA_MIN","Minimum ölçek"
"BOB_SCA_MAX","Maksimum ölçek"
"BOB_SPR_SBL","Bu binalar için şu anda bir değiştirme uygulanıyor"
"BOB_SPR_ABL","Şu anda tüm binalar için bir değiştirme uygulanıyor"
"BOB_SPR_SNT","Bu ağlar için şu anda bir değiştirme uygulanıyor"
"BOB_SPR_ANT","Bir değiştirme şu anda tüm ağlar için uygulanıyor"
"BOB_SPR_PCK","Şu anda bir değiştirme paketi uygulanıyor"
"BOB_SPR_ADD","Bu öğe BOB tarafından eklenmiştir ve orijinal varlığın bir parçası değildir"
"BOB_PCK_APP","Paketi uygula"
"BOB_PCK_APP_A","Seçilen yedek paketi uygular"
"BOB_PCK_APP_C","Paket uygulanamıyor çünkü zaten uygulanmış bir paketle çakışıyor"
"BOB_PCK_APP_I","Paket şu anda uygulanıyor"
"BOB_PCK_RVT","Paketi geri al"
"BOB_PCK_RVT_A","Seçili yedek paketin uygulamasını kaldırır"
"BOB_PCK_RVT_I","Paket şu anda uygulanmadı"
"BOB_PCK_NAL","Değiştirmelerin tümü mevcut değil"
"BOB_CFG_UCS","Bu kayıt için seçili yapılandırmayı kullan (genel yapılandırma yerine)"
"BOB_CFG_SAC","Mevcut yapılandırmayı kaydet"
