"LANGUAGE","한국어"
"BOB_NAM","BOB: 나무와 프롭 교체기"
"BOB_DESC","개발 중: 나무와 소품을 교체합니다."
"TRN_CHOICE","언어 설정"
"LANGUAGE_GAME","게임 언어 사용"
"NOTE_CLOSE","닫기"
"NOTE_DONTSHOWAGAIN","다시 표시하지 않기"
"BOB_ROW_WAS","기존:"
"BOB_PNL_NOP","발견된 프롭 없음"
"BOB_PNL_NOT","발견된 나무 없음"
"BOB_PNL_TRE","나무"
"BOB_PNL_PRP","프롭"
"BOB_PNL_BOT","나무와 프롭"
"BOB_PNL_HDV","바닐라 숨기기"
"BOB_PNL_ACT","액션"
"BOB_PNL_MOD","교체 모드"
"BOB_PNL_LAN","라인 설정"
"BOB_PNL_LAN_TIP","수정할 네트워크에서 특정 차선을 선택하거나 모든 차선을 표시하도록 선택합니다."
"BOB_PNL_LAN_ALL","모든 라인"
"BOB_PNL_FUN","추가 기능"
"BOB_PNL_M_PIB","이 건물들의 개별 프롭"
"BOB_PNL_M_PGB","이 건물들의 이 유형의 모든 프롭"
"BOB_PNL_M_PAB","모든 건물의 이 유형의 모든 프롭"
"BOB_PNL_M_TIB","이 건물들의 개별 나무"
"BOB_PNL_M_TGB","이 건물들의 이 유형의 모든 나무"
"BOB_PNL_M_TAB","모든 건물의 이 유형의 모든 나무"
"BOB_PNL_M_PIN","이 네트워크들의 개별 프롭"
"BOB_PNL_M_PGN","이 네트워크들의 이 유형의 모든 프롭"
"BOB_PNL_M_PAN","모든 네트워크의 이 유형의 모든 프롭"
"BOB_PNL_M_TIN","이 네트워크들의 개별 나무"
"BOB_PNL_M_TGN","이 네트워크들의 이 유형의 모든 나무"
"BOB_PNL_M_TAN","모든 네트워크의 이 유형의 모든 나무"
"BOB_PNL_RTB","이 건물들"
"BOB_PNL_RAB","모든 건물"
"BOB_PNL_RTN","이 네트워크들"
"BOB_PNL_RAN","모든 네트워크"
"BOB_PNL_RTT","맵 나무"
"BOB_PNL_RTP","맵 프롭"
"BOB_PNL_RSW","랜덤 표시"
"BOB_PNL_RST","랜덤 설정"
"BOB_PNL_SCA","프롭과 나무 스케일링"
"BOB_PNL_APP","변경 적용 및 저장"
"BOB_PNL_REV","되돌리기"
"BOB_PNL_ADD","새로운 프롭 만들기 "
"BOB_PNL_REM","추가된 프롭 제거"
"BOB_PNL_REV_UND","선택된 교체 되돌리기"
"BOB_PNL_REV_TIP","이 아이템에 활성화된 교체가 없으므로 되돌릴 수 없습니다"
"BOB_PNL_HID","이 항목 숨기기(확률을 0으로 설정)"
"BOB_PNL_PKB","교체 팩"
"BOB_PNL_PRB","확률"
"BOB_PNL_ANG","각도"
"BOB_PNL_OFF","오프셋"
"BOB_PNL_HEI","높이"
"BOB_PNL_CUH","커스텀"
"BOB_PNL_CUH_TIP","이 옵션을 선택하면 지정된 사용자 지정 높이 오프셋이 사용됩니다 (기본 프롭 높이를 사용하는 대신)"
"BOB_PNL_XOF","X"
"BOB_PNL_YOF","Y"
"BOB_PNL_ZOF","Z"
"BOB_PNL_REP","간격"
"BOB_PNL_REP_TIP","개체 사이 거리"
"BOB_PNL_SUB","서브-빌딩"
"BOB_RND_TIT","랜덤 나무와 프롭 구성"
"BOB_RND_NEW","새로 만들기"
"BOB_RND_DEL","삭제"
"BOB_RND_REN","이름 변경"
"BOB_RND_ADD","변형에 추가"
"BOB_RND_SUB","변형에서 제거"
"BOB_SCA_TIT","프롭 스케일링 구성"
"BOB_SCA_MIN","최소 크기"
"BOB_SCA_MAX","최대 크기"
"BOB_SPR_SBL","현재 교체가 이 건물들에 적용됨"
