"LANGUAGE","Angol"
"BOB_NAM","BOB: a fa és prop kezelő"
"BOB_DESC","Helyettesíti a fákat és a kellékeket (prop)."
"TRN_CHOICE","Nyelv kiválasztása"
"LANGUAGE_GAME","Használja a rendszer nyelvét"
"NOTE_CLOSE","Bezárás"
"NOTE_DONTSHOWAGAIN","Ne mutassa újra"
"BOB_ROW_WAS","volt"
"BOB_PNL_NOP","Nem található prop"
"BOB_PNL_NOT","Nem található fa"
"BOB_PNL_TRE","Fák"
"BOB_PNL_PRP","Prop"
"BOB_PNL_BOT","Fa és prop együtt"
"BOB_PNL_HDV","Vanilla nélkül"
"BOB_PNL_ACT","Műveletek"
"BOB_PNL_MOD","Elhelyezési mód"
"BOB_PNL_LAN","Válassz sávot"
"BOB_PNL_LAN_TIP","Válassz ki egy adott sávot az úton (pályán) a módosításhoz, vagy válaszd ki az összes sáv megjelenítését"
"BOB_PNL_LAN_ALL","Minden sáv"
"BOB_PNL_FUN","Extra funkciók"
"BOB_PNL_M_PIB","Egyedi prop ezekben az építményekben"
"BOB_PNL_M_PGB","Az összes ilyen típusú prop ezekben az építményekben"
"BOB_PNL_M_PAB","Minden ilyen típusú prop minden építményben"
"BOB_PNL_M_TIB","Egyedi fák ezekben az építményekben"
"BOB_PNL_M_TGB","Az összes ilyen fa ezekben az építményekben"
"BOB_PNL_M_TAB","Az összes ilyen fa minden építményben"
"BOB_PNL_M_PIN","Egyéni prop ezeken az utakon (pályákon)"
"BOB_PNL_M_PGN","Az összes ilyen típusú prop ezeken az utakon (pályákon)"
"BOB_PNL_M_PAN","Minden ilyen típusú prop minden úton (pályán)"
"BOB_PNL_M_TIN","Egyedi fák ezeken az utakon (pályákon)"
"BOB_PNL_M_TGN","Az összes ilyen fa ezeken az utakon (pályákon)"
"BOB_PNL_M_TAN","Az összes ilyen típusú fa minden úton (pályán)"
"BOB_PNL_RTB","Távolítsa el ezeket az építményeket"
"BOB_PNL_RAB","TÁVOLÍTSA EL minden építményen"
"BOB_PNL_RTN","TÁVOLÍTSA el ezeken az utakon (pályákon)"
"BOB_PNL_RAN","Minden útról (pályáról) ELTÁVOLÍTANI"
"BOB_PNL_RTT","Térkép fák"
"BOB_PNL_RTP","Térkép prop"
"BOB_PNL_RSW","Véletlenszerű megjelenítés"
"BOB_PNL_RST","Véletlenszerű beállítás"
"BOB_PNL_SCA","Prop és fa méretezés"
"BOB_PNL_APP","Alkalmazza és mentse a módosításokat"
"BOB_PNL_REV","Visszaállít"
"BOB_PNL_ADD","Új prop hozzáadása"
